
2024/02/20 (21:33:41) | ===> btop++ v.1.3.2
2024/02/20 (21:33:41) | INFO: Logger set to DEBUG
2024/02/20 (21:33:41) | INFO: Logger set to INFO
2024/02/20 (21:33:43) | INFO: Logger set to DEBUG
2024/02/20 (21:33:43) | INFO: Logger set to INFO
2024/02/20 (21:33:45) | INFO: Logger set to DEBUG
2024/02/20 (21:33:46) | INFO: Logger set to INFO
2024/02/20 (21:39:30) | ERROR: Stall in Runner thread, restarting!
2024/02/20 (21:39:49) | ERROR: Stall in Runner thread, restarting!
2024/02/20 (21:40:06) | ERROR: Stall in Runner thread, restarting!
2024/02/20 (21:40:20) | ERROR: Stall in Runner thread, restarting!
2024/02/20 (21:40:38) | ERROR: Stall in Runner thread, restarting!
